case,run,DOC,feed,material
1,1,1.5,0.5,1
1,2,1.5,0.5,1
1,3,1.5,0.5,1
1,4,1.5,0.5,1
1,5,1.5,0.5,1
1,6,1.5,0.5,1
1,7,1.5,0.5,1
1,8,1.5,0.5,1
1,9,1.5,0.5,1
1,10,1.5,0.5,1
1,11,1.5,0.5,1
1,12,1.5,0.5,1
1,13,1.5,0.5,1
1,14,1.5,0.5,1
1,15,1.5,0.5,1
1,16,1.5,0.5,1
1,17,1.5,0.5,1
2,1,0.75,0.5,1
2,2,0.75,0.5,1
2,3,0.75,0.5,1
2,4,0.75,0.5,1
2,5,0.75,0.5,1
2,6,0.75,0.5,1
2,7,0.75,0.5,1
2,8,0.75,0.5,1
2,9,0.75,0.5,1
2,10,0.75,0.5,1
2,11,0.75,0.5,1
2,12,0.75,0.5,1
2,13,0.75,0.5,1
2,14,0.75,0.5,1
3,1,0.75,0.25,1
3,2,0.75,0.25,1
3,3,0.75,0.25,1
3,5,0.75,0.25,1
3,6,0.75,0.25,1
3,7,0.75,0.25,1
3,8,0.75,0.25,1
3,9,0.75,0.25,1
3,10,0.75,0.25,1
3,11,0.75,0.25,1
3,12,0.75,0.25,1
3,14,0.75,0.25,1
3,15,0.75,0.25,1
3,16,0.75,0.25,1
4,1,1.5,0.25,1
4,2,1.5,0.25,1
4,3,1.5,0.25,1
4,4,1.5,0.25,1
4,5,1.5,0.25,1
4,6,1.5,0.25,1
4,7,1.5,0.25,1
9,1,1.5,0.5,1
9,2,1.5,0.5,1
9,3,1.5,0.5,1
9,4,1.5,0.5,1
9,5,1.5,0.5,1
9,6,1.5,0.5,1
9,7,1.5,0.5,1
9,8,1.5,0.5,1
9,9,1.5,0.5,1
10,1,1.5,0.25,1
10,2,1.5,0.25,1
10,3,1.5,0.25,1
10,4,1.5,0.25,1
10,5,1.5,0.25,1
10,6,1.5,0.25,1
10,7,1.5,0.25,1
10,8,1.5,0.25,1
10,9,1.5,0.25,1
10,10,1.5,0.25,1
11,1,0.75,0.25,1
11,2,0.75,0.25,1
11,3,0.75,0.25,1
11,4,0.75,0.25,1
11,5,0.75,0.25,1
11,6,0.75,0.25,1
11,7,0.75,0.25,1
11,8,0.75,0.25,1
11,9,0.75,0.25,1
11,10,0.75,0.25,1
11,11,0.75,0.25,1
11,12,0.75,0.25,1
11,13,0.75,0.25,1
11,14,0.75,0.25,1
11,15,0.75,0.25,1
11,16,0.75,0.25,1
11,17,0.75,0.25,1
11,18,0.75,0.25,1
11,19,0.75,0.25,1
11,20,0.75,0.25,1
11,21,0.75,0.25,1
11,22,0.75,0.25,1
11,23,0.75,0.25,1
12,2,0.75,0.5,1
12,3,0.75,0.5,1
12,4,0.75,0.5,1
12,5,0.75,0.5,1
12,6,0.75,0.5,1
12,7,0.75,0.5,1
12,8,0.75,0.5,1
12,9,0.75,0.5,1
12,10,0.75,0.5,1
12,11,0.75,0.5,1
12,12,0.75,0.5,1
12,13,0.75,0.5,1
12,14,0.75,0.5,1
12,15,0.75,0.5,1
5,1,1.5,0.5,2
5,2,1.5,0.5,2
5,3,1.5,0.5,2
5,4,1.5,0.5,2
5,5,1.5,0.5,2
5,6,1.5,0.5,2
6,1,1.5,0.25,2
7,1,0.75,0.25,2
7,2,0.75,0.25,2
7,3,0.75,0.25,2
7,4,0.75,0.25,2
7,5,0.75,0.25,2
7,6,0.75,0.25,2
7,7,0.75,0.25,2
7,8,0.75,0.25,2
8,1,0.75,0.5,2
8,2,0.75,0.5,2
8,3,0.75,0.5,2
8,4,0.75,0.5,2
8,5,0.75,0.5,2
8,6,0.75,0.5,2
13,1,0.75,0.25,2
13,2,0.75,0.25,2
13,3,0.75,0.25,2
13,4,0.75,0.25,2
13,5,0.75,0.25,2
13,6,0.75,0.25,2
13,7,0.75,0.25,2
13,8,0.75,0.25,2
13,9,0.75,0.25,2
13,10,0.75,0.25,2
13,11,0.75,0.25,2
13,12,0.75,0.25,2
13,13,0.75,0.25,2
13,14,0.75,0.25,2
13,15,0.75,0.25,2
14,1,0.75,0.5,2
14,2,0.75,0.5,2
14,3,0.75,0.5,2
14,4,0.75,0.5,2
14,5,0.75,0.5,2
14,6,0.75,0.5,2
14,8,0.75,0.5,2
14,9,0.75,0.5,2
14,10,0.75,0.5,2
15,1,1.5,0.25,2
15,2,1.5,0.25,2
15,3,1.5,0.25,2
15,4,1.5,0.25,2
15,5,1.5,0.25,2
15,6,1.5,0.25,2
15,7,1.5,0.25,2
16,1,1.5,0.5,2
16,2,1.5,0.5,2
16,3,1.5,0.5,2
16,4,1.5,0.5,2
16,5,1.5,0.5,2
16,6,1.5,0.5,2
